ID,da_percent,hra_percent,esi_eligible
941,190.0,16.0,0
942,190.0,16.0,0
943,190.0,16.0,0
945,190.0,16.0,0
954,190.0,16.0,0
958,190.0,16.0,0
959,190.0,16.0,0
960,190.0,16.0,0
963,190.0,16.0,0
965,190.0,16.0,0
966,190.0,16.0,0
967,190.0,16.0,0
970,190.0,16.0,0
973,190.0,16.0,0
974,190.0,16.0,0
978,190.0,16.0,0
980,190.0,16.0,0
981,190.0,16.0,0
989,190.0,16.0,0
992,190.0,16.0,0
990,190.0,16.0,0
995,190.0,16.0,0
1000,181.0,16.0,0
1001,181.0,16.0,0
1002,181.0,16.0,0
816,190.0,16.0,0
818,190.0,16.0,0
826,190.0,16.0,0
848,190.0,16.0,0
867,190.0,16.0,0
837,190.0,16.0,0
850,190.0,16.0,0
949,190.0,16.0,0
952,190.0,16.0,0
986,190.0,16.0,0
1051,190.0,16.0,0
1052,190.0,16.0,0
780,190.0,16.0,0
781,190.0,16.0,0
951,0.0,0.0,0
1110,181.0,16.0,0
1130,0.0,0.0,0
1131,181.0,16.0,0
1008,181.0,16.0,0
1010,181.0,16.0,0
1009,181.0,16.0,0
1011,190.0,16.0,0
1013,181.0,16.0,0
1007,181.0,16.0,0
1012,181.0,16.0,0
1016,181.0,16.0,0
1018,181.0,16.0,0
1043,190.0,16.0,0
1046,190.0,16.0,0
1047,190.0,16.0,0
1048,190.0,16.0,0
1050,190.0,16.0,0
1134,172.0,16.0,0
1111,190.0,16.0,0
1112,172.0,16.0,0
1063,190.0,16.0,0
1072,190.0,16.0,0
1075,190.0,16.0,0
1087,190.0,16.0,0
1089,190.0,16.0,0
1090,190.0,16.0,0
1093,190.0,16.0,0
1129,181.0,16.0,0
1099,190.0,16.0,0
1100,190.0,16.0,0
831,190.0,16.0,0
1104,56.8,10.0,0
1132,181.0,16.0,0
1133,172.0,16.0,0
1106,0.0,0.0,0
1138,190.0,16.0,0
1139,137.6,10.0,0
1141,190.0,16.0,0
1145,172.0,16.0,0
1146,190.0,16.0,0
1148,190.0,16.0,0
1151,137.6,10.0,0
1152,172.0,16.0,0
1153,190.0,16.0,0
1155,190.0,16.0,0
1163,190.0,16.0,0
1164,190.0,16.0,0
1165,190.0,16.0,0
1168,127.8,10.0,0
1166,190.0,16.0,0
1171,137.6,10.0,0
1174,163.0,10.0,0
1258,0.0,0.0,0
1176,30.8,10.0,0
1177,130.4,10.0,0
1178,130.4,10.0,0
1179,130.4,10.0,0
1180,130.4,10.0,0
1181,130.4,10.0,0
1183,130.4,10.0,0
1184,130.4,10.0,0
1185,130.4,10.0,0
1186,130.4,10.0,0
1187,163.0,16.0,0
1188,97.8,10.0,0
1191,97.8,10.0,0
1192,97.8,10.0,0
1194,181.0,16.0,0
1195,130.4,10.0,0
1198,130.4,10.0,0
1199,130.4,10.0,0
1200,130.4,10.0,0
1201,181.0,16.0,0
1202,97.8,10.0,0
1204,181.0,16.0,0
1205,181.0,16.0,0
1206,130.4,10.0,0
1207,97.8,10.0,0
